,latency_ms_num,hora,ts_invalido,latency_negativa,self_event,n_campos_faltantes,dup_notification_id,falta_post_id,falta_comment_id,rechazado
latency_ms_num,1.0,-0.02,-0.01,-0.24,-0.01,0.04,-0.01,-0.01,0.01,-0.06
hora,-0.02,1.0,,0.01,0.01,-0.02,-0.02,0.03,0.01,-0.06
ts_invalido,-0.01,,1.0,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,0.27
latency_negativa,-0.24,0.01,-0.01,1.0,-0.01,-0.01,-0.02,0.01,0.02,0.27
self_event,-0.01,0.01,-0.01,-0.01,1.0,-0.01,-0.02,0.01,-0.01,0.27
n_campos_faltantes,0.04,-0.02,-0.01,-0.01,-0.01,1.0,-0.02,-0.01,-0.02,0.24
dup_notification_id,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,1.0,-0.01,0.03,0.17
falta_post_id,-0.01,0.03,-0.01,0.01,0.01,-0.01,-0.01,1.0,0.5,0.04
falta_comment_id,0.01,0.01,-0.02,0.02,-0.01,-0.02,0.03,0.5,1.0,0.01
rechazado,-0.06,-0.06,0.27,0.27,0.27,0.24,0.17,0.04,0.01,1.0
